date,win,lose,probability
Fri Dec 1 2017,Chicago Bulls,Sacramento Kings,0.68626612826194522
Fri Dec 1 2017,San Antonio Spurs,Memphis Grizzlies,0.85693454657025137
Fri Dec 1 2017,Miami Heat,Charlotte Hornets,0.55765875275067811
Fri Dec 1 2017,Oklahoma City Thunder,Minnesota Timberwolves,0.86620366018451256
Fri Dec 1 2017,Golden State Warriors,Orlando Magic,0.89157104151472033
Fri Dec 1 2017,Toronto Raptors,Indiana Pacers,0.69681661510572412
Fri Dec 1 2017,Utah Jazz,New Orleans Pelicans,0.74856480397538339
Fri Dec 1 2017,Washington Wizards,Detroit Pistons,0.50306850123240421
Sat Dec 2 2017,Boston Celtics,Phoenix Suns,0.86523385316270152
Sat Dec 2 2017,Atlanta Hawks,Brooklyn Nets,0.86709635426797171
Sat Dec 2 2017,Cleveland Cavaliers,Memphis Grizzlies,0.87922832178653532
Sat Dec 2 2017,Los Angeles Clippers,Dallas Mavericks,0.58603079290605975
Sat Dec 2 2017,Denver Nuggets,Los Angeles Lakers,0.74992347392735281
Sat Dec 2 2017,Sacramento Kings,Milwaukee Bucks,0.52616276703002185
Sat Dec 2 2017,Detroit Pistons,Philadelphia 76ers,0.88880818282620389
Sat Dec 2 2017,Portland Trail Blazers,New Orleans Pelicans,0.81534638201184673
Sun Dec 3 2017,Houston Rockets,Los Angeles Lakers,0.79319434372919051
Sun Dec 3 2017,Golden State Warriors,Miami Heat,0.7590258918387095
Sun Dec 3 2017,Los Angeles Clippers,Minnesota Timberwolves,0.77770225286345041
Sun Dec 3 2017,New York Knicks,Orlando Magic,0.5046736369544802
Sun Dec 3 2017,San Antonio Spurs,Oklahoma City Thunder,0.56352084833752092
Mon Dec 4 2017,Atlanta Hawks,Brooklyn Nets,0.87855561647435743
Mon Dec 4 2017,Boston Celtics,Milwaukee Bucks,0.78793143076565053
Mon Dec 4 2017,Cleveland Cavaliers,Chicago Bulls,0.72743828065672123
Mon Dec 4 2017,Charlotte Hornets,Orlando Magic,0.74154350758463183
Mon Dec 4 2017,Dallas Mavericks,Denver Nuggets,0.67845770644001058
Mon Dec 4 2017,Indiana Pacers,New York Knicks,0.7758471847532844
Mon Dec 4 2017,Memphis Grizzlies,Minnesota Timberwolves,0.58253916384596149
Mon Dec 4 2017,Golden State Warriors,New Orleans Pelicans,0.92384397882484925
Mon Dec 4 2017,Phoenix Suns,Philadelphia 76ers,0.67553074578016248
Mon Dec 4 2017,San Antonio Spurs,Detroit Pistons,0.83744407249702346
Mon Dec 4 2017,Utah Jazz,Washington Wizards,0.5849146545089805
Tue Dec 5 2017,Oklahoma City Thunder,Utah Jazz,0.80000585936347524
