CDate,Vteam,Hteam
Fri Dec 1 2017,Sacramento Kings,Chicago Bulls
Fri Dec 1 2017,San Antonio Spurs,Memphis Grizzlies
Fri Dec 1 2017,Charlotte Hornets,Miami Heat
Fri Dec 1 2017,Minnesota Timberwolves,Oklahoma City Thunder
Fri Dec 1 2017,Golden State Warriors,Orlando Magic
Fri Dec 1 2017,Indiana Pacers,Toronto Raptors
Fri Dec 1 2017,New Orleans Pelicans,Utah Jazz
Fri Dec 1 2017,Detroit Pistons,Washington Wizards
Sat Dec 2 2017,Phoenix Suns,Boston Celtics
Sat Dec 2 2017,Atlanta Hawks,Brooklyn Nets
Sat Dec 2 2017,Memphis Grizzlies,Cleveland Cavaliers
Sat Dec 2 2017,Los Angeles Clippers,Dallas Mavericks
Sat Dec 2 2017,Los Angeles Lakers,Denver Nuggets
Sat Dec 2 2017,Sacramento Kings,Milwaukee Bucks
Sat Dec 2 2017,Detroit Pistons,Philadelphia 76ers
Sat Dec 2 2017,New Orleans Pelicans,Portland Trail Blazers
Sun Dec 3 2017,Houston Rockets,Los Angeles Lakers
Sun Dec 3 2017,Golden State Warriors,Miami Heat
Sun Dec 3 2017,Los Angeles Clippers,Minnesota Timberwolves
Sun Dec 3 2017,Orlando Magic,New York Knicks
Sun Dec 3 2017,San Antonio Spurs,Oklahoma City Thunder
Mon Dec 4 2017,Brooklyn Nets,Atlanta Hawks
Mon Dec 4 2017,Milwaukee Bucks,Boston Celtics
Mon Dec 4 2017,Cleveland Cavaliers,Chicago Bulls
Mon Dec 4 2017,Orlando Magic,Charlotte Hornets
Mon Dec 4 2017,Denver Nuggets,Dallas Mavericks
Mon Dec 4 2017,New York Knicks,Indiana Pacers
Mon Dec 4 2017,Minnesota Timberwolves,Memphis Grizzlies
Mon Dec 4 2017,Golden State Warriors,New Orleans Pelicans
Mon Dec 4 2017,Phoenix Suns,Philadelphia 76ers
Mon Dec 4 2017,Detroit Pistons,San Antonio Spurs
Mon Dec 4 2017,Washington Wizards,Utah Jazz
Tue Dec 5 2017,Utah Jazz,Oklahoma City Thunder
Tue Dec 5 2017,Washington Wizards,Portland Trail Blazers
Tue Dec 5 2017,Phoenix Suns,Toronto Raptors
Wed Dec 6 2017,Dallas Mavericks,Boston Celtics
Wed Dec 6 2017,Golden State Warriors,Charlotte Hornets
Wed Dec 6 2017,Sacramento Kings,Cleveland Cavaliers
Wed Dec 6 2017,Chicago Bulls,Indiana Pacers
Wed Dec 6 2017,Minnesota Timberwolves,Los Angeles Clippers
Wed Dec 6 2017,Detroit Pistons,Milwaukee Bucks
Wed Dec 6 2017,Denver Nuggets,New Orleans Pelicans
Wed Dec 6 2017,Memphis Grizzlies,New York Knicks
Wed Dec 6 2017,Atlanta Hawks,Orlando Magic
Wed Dec 6 2017,Miami Heat,San Antonio Spurs
Thu Dec 7 2017,Oklahoma City Thunder,Brooklyn Nets
Thu Dec 7 2017,Los Angeles Lakers,Philadelphia 76ers
Thu Dec 7 2017,Washington Wizards,Phoenix Suns
Thu Dec 7 2017,Houston Rockets,Utah Jazz
Fri Dec 8 2017,Chicago Bulls,Charlotte Hornets
Fri Dec 8 2017,Golden State Warriors,Detroit Pistons
Fri Dec 8 2017,Cleveland Cavaliers,Indiana Pacers
Fri Dec 8 2017,Toronto Raptors,Memphis Grizzlies
Fri Dec 8 2017,Dallas Mavericks,Milwaukee Bucks
Fri Dec 8 2017,Sacramento Kings,New Orleans Pelicans
Fri Dec 8 2017,Denver Nuggets,Orlando Magic
Fri Dec 8 2017,Boston Celtics,San Antonio Spurs
Sat Dec 9 2017,Orlando Magic,Atlanta Hawks
Sat Dec 9 2017,Miami Heat,Brooklyn Nets
Sat Dec 9 2017,New York Knicks,Chicago Bulls
Sat Dec 9 2017,Los Angeles Lakers,Charlotte Hornets
Sat Dec 9 2017,Philadelphia 76ers,Cleveland Cavaliers
Sat Dec 9 2017,Washington Wizards,Los Angeles Clippers
Sat Dec 9 2017,Oklahoma City Thunder,Memphis Grizzlies
Sat Dec 9 2017,Utah Jazz,Milwaukee Bucks
Sat Dec 9 2017,San Antonio Spurs,Phoenix Suns
Sat Dec 9 2017,Houston Rockets,Portland Trail Blazers
Sun Dec 10 2017,Boston Celtics,Detroit Pistons
Sun Dec 10 2017,Denver Nuggets,Indiana Pacers
Sun Dec 10 2017,Dallas Mavericks,Minnesota Timberwolves
Sun Dec 10 2017,Philadelphia 76ers,New Orleans Pelicans
Sun Dec 10 2017,Atlanta Hawks,New York Knicks
Sun Dec 10 2017,Toronto Raptors,Sacramento Kings
